"","responseBlockTime","trialEarnings","condition","id","blockIdx"
"91",812.383333332594,3,"rich","201",1
"92",821.983333332586,1,"rich","201",1
"93",831.699999999244,3,"rich","201",1
"94",841.249999999235,0,"rich","201",1
"95",848.999999999228,1,"rich","201",1
"96",858.699999999219,1,"rich","201",1
"97",868.19999999921,0,"rich","201",1
"98",876.06666666587,0,"rich","201",1
"99",883.883333332529,0,"rich","201",1
"100",891.14999999919,3,"rich","201",1
"101",901.066666665847,1,"rich","201",1
"102",910.716666665838,3,"rich","201",1
"103",920.399999999163,0,"rich","201",1
"104",927.799999999156,3,"rich","201",1
"105",937.466666665814,0,"rich","201",1
"106",945.216666665809,0,"rich","201",1
"107",952.949999999149,3,"rich","201",1
"108",962.53333333249,1,"rich","201",1
"109",972.116666665831,1,"rich","201",1
"110",981.949999999172,0,"rich","201",1
"111",989.533333332511,3,"rich","201",1
"112",999.316666665852,0,"rich","201",1
"113",1007.06666666586,0,"rich","201",1
"114",1014.83333333253,1,"rich","201",1
"115",1024.28333333254,1,"rich","201",1
"116",1034.01666666588,0,"rich","201",1
"117",1041.66666666589,1,"rich","201",1
"118",1051.18333333256,1,"rich","201",1
"119",1060.9166666659,0,"rich","201",1
"120",1068.79999999924,0,"rich","201",1
"121",1076.18333333258,1,"rich","201",1
"122",1085.88333333258,3,"rich","201",1
"123",1095.46666666591,0,"rich","201",1
"124",1103.09999999924,3,"rich","201",1
"125",1113.01666666591,0,"rich","201",1
"126",1120.78333333257,1,"rich","201",1
"127",1130.11666666591,3,"rich","201",1
"128",1139.79999999924,0,"rich","201",1
"129",1147.44999999924,0,"rich","201",1
"130",1155.38333333257,0,"rich","201",1
"131",1162.74999999924,1,"rich","201",1
"132",1172.43333333257,3,"rich","201",1
"133",1182.1166666659,1,"rich","201",1
"134",1191.8166666659,1,"rich","201",1
"135",5.68333333332816,0,"poor","201",2
"136",13.0166666666548,0,"poor","201",2
"137",20.9333333333143,0,"poor","201",2
"138",28.3833333333075,0,"poor","201",2
"139",36.1833333333004,3,"poor","201",2
"140",46.5166666666244,0,"poor","201",2
"141",53.8333333332844,0,"poor","201",2
"142",61.7499999999438,3,"poor","201",2
"143",84.1999999999234,1,"poor","201",2
"144",93.9333333332479,0,"poor","201",2
"145",101.816666666574,0,"poor","201",2
"146",109.299999999901,0,"poor","201",2
"147",117.06666666656,0,"poor","201",2
"148",124.93333333322,0,"poor","201",2
"149",132.44999999988,1,"poor","201",2
"150",142.083333333204,0,"poor","201",2
"151",150.183333333197,1,"poor","201",2
"152",172.883333333176,0,"poor","201",2
"153",180.833333333169,0,"poor","201",2
"154",188.433333333162,0,"poor","201",2
"155",197.183333333154,0,"poor","201",2
"156",203.816666666481,0,"poor","201",2
"157",211.349999999808,0,"poor","201",2
"158",219.216666666467,0,"poor","201",2
"159",227.799999999793,0,"poor","201",2
"160",234.93333333312,0,"poor","201",2
"161",242.29999999978,3,"poor","201",2
