blockIdx,trialIdx,scheduledHt,scheduledRwd,spentHt,responseBlockTime,trialEarnings,responseRT,blockTime,
1,63,2,1,2,826.3666666659151,1,0.36666666666666664,830.9999999992442,
1,64,2,1,2,839.3666666659033,1,0.36666666666666664,843.9999999992324,
1,65,2,1,2,852.6833333325578,1,0.6833333333333333,856.9999999992206,
1,66,2,3,2,865.7666666658793,3,0.7666666666666666,869.9999999992087,
1,67,40,1,0,878.933333332534,0,0.9333333333333333,880.9999999991987,
1,68,2,3,2,889.4166666658577,3,0.4166666666666667,893.9999999991869,
1,69,22,3,22,903.2666666658452,3,1.2666666666666666,926.9999999991569,
1,70,28,1,0,936.0166666658154,0,1.0166666666666666,937.9999999991469,
1,71,40,1,0,946.9499999991438,0,0.95,948.9999999991454,
1,72,22,1,22,957.9833333324859,1,0.9833333333333333,981.9999999991717,
1,73,28,1,0,990.8999999991788,0,0.9,992.9999999991804,
1,74,2,3,2,1001.766666665854,3,0.7666666666666666,1005.9999999991908,
1,75,2,1,2,1014.8166666658644,1,0.8166666666666667,1018.9999999992011,
1,76,2,3,2,1027.6666666658748,3,0.6666666666666666,1031.9999999992115,
1,77,2,3,2,1040.716666665885,3,0.7166666666666667,1044.999999999222,
1,78,40,3,0,1053.9666666658957,0,0.9666666666666667,1055.9999999992306,
1,79,2,1,2,1064.416666665904,1,0.4166666666666667,1068.999999999241,
1,80,22,3,0,1079.2333333325762,0,2.2333333333333334,1079.9999999992428,
1,81,2,1,2,1088.3999999992425,1,0.4,1092.9999999992422,
1,82,28,1,0,1101.9833333325748,0,0.9833333333333333,1103.9999999992415,
1,83,2,3,2,1112.3999999992411,3,0.4,1116.9999999992408,
1,84,2,3,2,1125.5999999992403,3,0.6,1129.9999999992401,
1,85,2,3,2,1138.6499999992395,3,0.65,1142.9999999992392,
1,86,2,1,2,1151.4166666659055,1,0.4166666666666667,1155.9999999992385,
1,87,2,1,2,1164.3166666659047,1,0.31666666666666665,1168.9999999992378,
1,88,40,1,0,1177.8499999992373,0,0.85,1179.9999999992372,
1,89,28,3,0,1188.916666665904,0,0.9166666666666666,1190.9999999992374,
1,90,2,1,2,1199.2999999992373,1,0.3,1200.016666665904,
2,1,28,1,0,8.8333333333253,0,0.8333333333333334,10.999999999989996,
2,2,22,1,22,19.76666666664869,1,0.7666666666666666,43.99999999995998,
2,3,2,3,2,52.316666666619085,3,0.31666666666666665,56.99999999994816,
2,4,28,3,0,66.04999999993993,0,1.05,67.99999999993815,
2,5,28,3,0,76.94999999993001,0,0.95,78.99999999992815,
2,6,40,3,0,87.8833333332534,0,0.8833333333333333,89.99999999991815,
2,7,28,1,0,98.8166666665768,0,0.8166666666666667,100.99999999990814,
2,8,28,3,0,110.41666666656624,0,1.4166666666666667,111.99999999989814,
2,9,28,1,0,120.84999999989009,0,0.85,122.99999999988813,
2,10,40,3,0,131.81666666654678,0,0.8166666666666667,133.99999999987813,
2,11,22,3,22,143.36666666653628,3,1.3666666666666667,166.99999999984811,
2,12,2,1,2,175.74999999984016,1,0.75,179.9999999998363,
