blockIdx,trialIdx,scheduledHt,scheduledRwd,spentHt,responseBlockTime,trialEarnings,responseRT,blockTime
2,71,28,1,0,992.5333333,0,0.533333333,995
2,72,2,1,2,1003.4,1,0.4,1008
2,73,28,3,0,1017.3,0,1.3,1019
2,74,40,3,0,1027.4,0,0.4,1030
2,75,28,3,0,1038.416667,0,0.416666667,1041
2,76,28,3,0,1049.483333,0,0.483333333,1052
2,77,22,1,22,1060.933333,1,0.933333333,1085
2,78,28,3,0,1093.383333,0,0.383333333,1096
2,79,28,1,0,1104.333333,0,0.333333333,1107
2,80,28,3,0,1115.433333,0,0.433333333,1118
2,81,22,1,0,1126.433333,0,0.433333333,1129
2,82,2,1,2,1137.433333,1,0.433333333,1142
2,83,28,1,0,1150.75,0,0.75,1153
2,84,40,3,0,1161.583333,0,0.583333333,1164
2,85,28,3,0,1172.833333,0,0.833333333,1175
2,86,2,1,2,1183.883333,1,0.883333333,1188
2,87,22,1,22,1196.883333,1,0.883333333,1200.016667
